UTC:,ykdhf,,,,,,,,,,,,,,,,,
time_pc [s],Mass [g],time_mcu[ms],data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:
2.068552017,0,66967,8698,9013,10237,22921,6608,20473,10589,9138,8866,8602,8668,9064,8441,8367,8367,8830
2.084185839,0,66982,8551,8697,9050,9372,20839,6374,18911,10846,9160,8749,8712,9057,8397,8316,8287,8800
2.099805355,0,66997,8573,8587,8808,8807,9203,19402,6198,19219,11234,9248,8903,9247,8500,8360,8316,8874
2.115094185,0,67012,8529,8566,8786,8705,8888,9358,19417,6205,19461,10992,9152,9401,8588,8397,8360,8910
2.130687714,0,67026,8580,8587,8690,8653,8639,8852,9570,20135,6249,21550,11337,9988,8683,8389,8316,8830
2.146621704,0,67041,8566,8573,8654,8529,8558,8522,8815,9753,22085,6462,24681,12562,8976,8507,8287,8830
2.162270069,0,67056,8624,8558,8595,8529,8514,8456,8521,8903,9548,25070,6858,38362,13603,8925,8573,8925
2.177901745,0,67071,9086,9020,9204,9035,8939,8808,8939,9372,9673,10582,38406,8251,48304,15802,9790,9577
2.193396807,0,67086,9042,8866,8939,8822,8756,8661,8639,8859,8888,9028,10560,48407,9490,29674,12026,9460
2.193396807,0,67100,8940,8727,8712,8624,8514,8404,8353,8617,8500,8470,8954,11264,29938,7364,26169,11660
2.208794594,0,67115,9607,9035,8852,8632,8558,8426,8412,8668,8463,8470,8719,9577,9431,26609,6975,27709
2.224756479,0,67130,30312,11769,9269,8829,8632,8426,8338,8617,8522,8529,8654,9115,8697,9050,27636,7129
2.224756479,0,A,,,,,,,,,,,,,,,,
2.240036488,0,67145,4600,22811,11945,9372,8808,8544,8390,8661,8536,8544,8558,9086,8588,8543,9240,28244
2.267363787,0,67160,24981,6630,24564,12099,9306,8676,8463,8654,8536,8485,8646,9042,8382,8507,8588,9746
2.282224655,0,67174,10149,24996,6843,24036,12166,9204,8837,8976,8830,8676,8764,9292,8507,8463,8536,9409
2.289377451,0,67189,9174,10274,24388,6792,22569,11146,8903,8940,8778,8697,8698,9255,8477,8470,8426,9079
2.305356026,0,67204,8742,9020,10252,23002,6638,20451,10626,9079,8852,8654,8712,9042,8360,8331,8338,8830
2.320977926,0,67219,8566,8654,9035,9358,20971,6396,18977,10831,9123,8676,8800,9093,8353,8353,8316,8830
2.336597681,0,67234,8558,8602,8837,8771,9189,19644,6191,19182,11227,9196,8888,9225,8441,8397,8345,8866
2.351862669,0,67248,8602,8588,8793,8719,8822,9277,19534,6205,19475,11029,9160,9460,8522,8397,8353,8881
2.367483616,0,67263,8551,8675,8734,8617,8602,8815,9665,20113,6256,21506,11220,9907,8661,8492,8353,8859
2.383412838,0,67278,8529,8565,8661,8499,8507,8529,8815,9760,21998,6484,24754,12554,8925,8448,8367,8859
2.399057865,0,67293,8580,8632,8668,8448,8566,8463,8477,8874,9533,25026,6828,38348,13529,8991,8507,8918
2.414687872,0,67308,9079,8991,9211,9020,8903,8800,8910,9336,9673,10604,38553,8317,48319,15751,9754,9563
2.430139065,0,67322,9020,8888,8940,8778,8756,8602,8631,8881,8918,8998,10655,48869,9409,29755,12041,9511
2.430139065,0,67337,8932,8734,8712,8485,8544,8419,8404,8551,8573,8536,8932,11220,30136,7334,26228,11652
2.445590734,0,67352,9651,8983,8837,8690,8609,8404,8345,8492,8536,8455,8764,9621,9446,26536,7078,27702
2.461529493,0,67367,30165,11755,9291,8808,8661,8500,8389,8566,8470,8441,8690,9167,8683,8998,27658,7136
2.461529493,0,A,,,,,,,,,,,,,,,,
2.476941586,0,67382,4600,22848,11982,9423,8873,8602,8397,8639,8646,8477,8646,9116,8492,8529,9226,28105
2.492801666,0,67396,25158,6579,24674,12092,9240,8712,8514,8668,8595,8536,8661,9020,8434,8441,8580,9695
2.508420706,0,67411,10237,25114,6777,24080,12158,9292,8830,8954,8800,8698,8822,9270,8558,8507,8602,9438
2.524003029,0,67426,9218,10274,24417,6660,22650,11139,8932,8954,8822,8712,8653,9138,8434,8463,8390,9123
2.539318085,0,67441,8749,9064,10266,22973,6594,20597,10626,9145,8830,8632,8719,9050,8316,8353,8324,8896
2.555297136,0,67456,8529,8653,9049,9387,21022,6374,18955,10853,9123,8778,8690,8976,8397,8265,8331,8888
2.570909023,0,67470,8507,8609,8859,8808,9240,19468,6139,19146,11183,9262,8903,9321,8441,8338,8316,8866
2.587990046,0,67485,8610,8602,8800,8654,8830,9379,19314,6198,19439,11022,9306,9453,8566,8463,8338,8881
